Location,Year,Period,Ecosystem,newyear,oldyear,prod_growth,area_growth,yield_growth,prod_change_area,prod_change_yield,prod_change_total,ps_area,ps_yield
PHILIPPINES,2004,Annual,All Ecosystem,2004,2003,0.073845079,0.03000783,0.042560112,412696.1041,584203.8959,996900,0.41397944,0.58602056
PHILIPPINES,2005,Annual,All Ecosystem,2005,2004,0.007327211,-0.013624627,0.021241243,-148802.9146,255023.9146,106221,-1.400880378,2.400880378
PHILIPPINES,2006,Annual,All Ecosystem,2006,2005,0.049558361,0.021990109,0.026975068,297729.4661,425971.5339,723701,0.411398445,0.588601555
PHILIPPINES,2007,Annual,All Ecosystem,2007,2006,0.059601065,0.027154063,0.031589226,444674.3424,468813.6576,913488,0.486787284,0.513212716
PHILIPPINES,2008,Annual,All Ecosystem,2008,2007,0.035427779,0.043784896,-0.008006551,691984.4044,-116630.4044,575354,1.202710687,-0.202710687
PHILIPPINES,2009,Annual,All Ecosystem,2009,2008,-0.032656176,0.016218245,-0.048094414,230851.5558,-779983.0558,-549131.5,-0.420393942,1.420393942
PHILIPPINES,2010,Annual,All Ecosystem,2010,2009,-0.030375313,-0.039306446,0.009296547,-556217.5559,62120.0559,-494097.5,1.125724287,-0.125724287
PHILIPPINES,2011,Annual,All Ecosystem,2011,2010,0.057806528,0.041909567,0.015257525,607787.6682,303955.3318,911743,0.6666217,0.3333783
PHILIPPINES,2012,Annual,All Ecosystem,2012,2011,0.080823451,0.033817782,0.045468041,574376.9629,774086.5071,1348463.47,0.42594922,0.57405078
PHILIPPINES,2013,Annual,All Ecosystem,2013,2012,0.022564463,0.011946578,0.010492536,260097.875,146796.385,406894.26,0.639227191,0.360772809
PHILIPPINES,2014,Annual,All Ecosystem,2014,2013,0.028656349,-0.001352521,0.030049513,3061.721148,525344.7189,528406.44,0.005794254,0.994205746
PHILIPPINES,2015,Annual,All Ecosystem,2015,2014,-0.043125047,-0.017605652,-0.025976732,-273858.5134,-544129.8766,-817988.39,0.33479511,0.66520489
PHILIPPINES,2016,Annual,All Ecosystem,2016,2015,-0.028793258,-0.021516208,-0.007437068,-364678.2089,-157914.7511,-522592.96,0.697824572,0.302175428
PHILIPPINES,2017,Annual,All Ecosystem,2017,2016,0.093554145,0.056137528,0.035427788,944695.586,704406.224,1649101.81,0.572854617,0.427145383
PHILIPPINES,2018,Annual,All Ecosystem,2018,2017,-0.010907289,-0.002369521,-0.008558047,-46694.98571,-163557.7043,-210252.69,0.222089837,0.777910163
PHILIPPINES,2019,Annual,All Ecosystem,2019,2018,-0.013178717,-0.031021628,0.018414148,-496839.5327,245572.8827,-251266.65,1.977339741,-0.977339741
PHILIPPINES,2020,Annual,All Ecosystem,2020,2019,0.025513294,0.014491362,0.010864491,205907.2528,274120.9672,480028.22,0.428948225,0.571051775
PHILIPPINES,2021,Annual,All Ecosystem,2021,2020,0.034481455,0.018263034,0.015927536,383546.4662,281768.2238,665314.69,0.576488798,0.423511202
PHILIPPINES,2022,Annual,All Ecosystem,2022,2021,-0.010209228,-0.000101326,-0.010108926,6289.266113,-210067.1961,-203777.93,-0.030863333,1.030863333
PHILIPPINES,2023,Annual,All Ecosystem,2023,2022,0.015345397,0.00233572,0.01297936,89568.40402,213601.286,303169.69,0.295439838,0.704560162
PHILIPPINES,2024,Annual,All Ecosystem,2024,2023,-0.048476957,-0.035277821,-0.013681801,-676225.0512,-296201.4688,-972426.52,0.695399639,0.304600361
